movie_id,movie_title,book_title,imdb_no,usable,isbn,oclc,imdb_title,imdb_actors,imdb_writers,imdb_genres,imdb_year,imdb_rated,imdb_released,imdb_runtime,imdb_imdbrating,imdb_imdbvotes,metadata_updated,book_id,budget,gross_usa,cumulative_worldwide_gross,opening_weekend_usa
m_0571056865_47677622_tt0474539,Alkitrang dugo,Lord of the Flies,tt0474539,True,0571056865,47677622,Alkitrang dugo,"['eddie villamayor', 'roderick paulate', 'jingle', 'efren montes']","['nicanor b. cleto jr.', 'nicanor b. cleto jr.', 'william golding']","['drama', 'thriller']",1975,N/A,05 Oct 1975,107 min,5.9,12,True,b_0571056865_47677622,,,,
m__295972o_tt0020629,All Quiet on the Western Front (1930 film),Im Westen Nichts Neues,tt0020629,True,,295972o,All Quiet on the Western Front,"['louis wolheim', 'lew ayres', 'john wray', 'arnold lucy']","['erich maria remarque', 'maxwell anderson', 'george abbott', 'del andrews', 'c. gardner sullivan']","['drama', 'war']",1930,Not Rated,24 Aug 1930,136 min,8.1,"53,477",True,b__295972o,1448864,3270000,,
m__295972o_tt0078753,All Quiet on the Western Front (1979 film),Im Westen Nichts Neues,tt0078753,True,,295972o,All Quiet on the Western Front,"['richard thomas', 'ernest borgnine', 'donald pleasence', 'ian holm']","['paul monash', 'erich maria remarque']","['drama', 'war']",1979,Not Rated,14 Nov 1979,150 min,7.1,"6,983",True,b__295972o,,,,
m__418497_tt0013824,All the Brothers Were Valiant (1923 film),All the Brothers Were Valiant (novel),tt0013824,True,,418497,All the Brothers Were Valiant,"['malcolm mcgregor', 'billie dove', 'lon chaney', 'william orlamond']","['julien josephson', 'ben ames williams']","['adventure', 'drama', 'romance']",1923,N/A,15 Jan 1923,101 min,6.9,9,True,b__418497,,,,
m__418497_tt0045494,All the Brothers Were Valiant (1953 film),All the Brothers Were Valiant (novel),tt0045494,True,,418497,All the Brothers Were Valiant,"['robert taylor', 'stewart granger', 'ann blyth', 'betta st. john']","['harry brown', 'ben ames williams']","['adventure', 'drama', 'romance']",1953,Approved,13 Nov 1953,95 min,6.3,758,True,b__418497,1816000,2004000,4628000,
m_9780679735779_22308330_tt0144084,American Psycho (film),American Psycho,tt0144084,True,9780679735779,22308330,American Psycho,"['christian bale', 'justin theroux', 'josh lucas', 'bill sage']","['bret easton ellis', 'mary harron', 'guinevere turner']","['crime', 'drama']",2000,R,14 Apr 2000,101 min,7.6,"432,887",True,b_9780679735779_22308330,7000000,15070285,34266564,4961015
m_9780679735779_22308330_tt0283877,American Psycho 2,American Psycho,tt0283877,True,9780679735779,22308330,American Psycho II: All American Girl,"['mila kunis', 'william shatner', 'geraint wyn davies', 'robin dunne']","['alex sanger', 'karen craig', 'bret easton ellis']","['horror', 'thriller']",2002,R,10 Jun 2002,88 min,3.8,"13,737",True,b_9780679735779_22308330,10000000,,,
m_9780811215695_58600742_tt0060100,Amerika (novel),Amerika (novel),tt0060100,True,9780811215695,58600742,Amerika,"['michael wennink', 'bernard bresslaw', 'harold goldblatt', 'roy dotrice']","['franz kafka', 'hugh whitemore']",['drama'],1966,N/A,06 Nov 1966,120 min,N/A,N/A,True,b_9780811215695_58600742,,,,
m__53163540_tt0047834,Animal Farm (1954 film),Animal Farm,tt0047834,True,,53163540,Animal Farm,"['gordon heath', 'maurice denham']","['george orwell', 'lothar wolff', 'borden mace', 'joseph bryan iii', 'john halas', 'joy batchelor']","['animation', 'drama']",1954,Approved,19 Jun 1959,72 min,7.2,"13,300",True,b__53163540,,,,
m__53163540_tt0204824,Animal Farm (1999 film),Animal Farm,tt0204824,True,,53163540,Animal Farm,"['kelsey grammer', 'ian holm', 'julia louis-dreyfus', 'julia ormond']","['george orwell', 'alan janes', 'martyn burke']","['comedy', 'drama', 'family']",1999,PG,03 Oct 1999,91 min,6.0,"5,395",True,b__53163540,23000000,,,
m_9781847490599_220005468_tt0003625,Anna Karenina (1914 film),Anna Karenina,tt0003625,True,9781847490599,220005468,Anna Karenina,"['mariya germanova', 'vladimir shaternikov', 'mikhail tamarov', 'zoya barantsevich']","['vladimir gardin', 'leo tolstoy']",['drama'],1914,N/A,07 Oct 1914,N/A,5.9,11,True,b_9781847490599_220005468,,,,
m_9781847490599_220005468_tt0004897,Anna Karenina (1915 film),Anna Karenina,tt0004897,True,9781847490599,220005468,Anna Karenina,"['betty nansen', 'edward josé', 'richard thornton', 'stella hammerstein']","['clara beranger', 'leo tolstoy']","['drama', 'romance']",1915,N/A,01 Apr 1915,N/A,5.6,5,True,b_9781847490599_220005468,,,,
m_9781847490599_220005468_tt0026071,Anna Karenina (1935 film),Anna Karenina,tt0026071,True,9781847490599,220005468,Anna Karenina,"['greta garbo', 'fredric march', 'freddie bartholomew', ""maureen o'sullivan""]","['leo tolstoy', 'clemence dane', 'salka viertel', 's.n. behrman']","['drama', 'romance']",1935,Passed,21 Nov 1935,95 min,7.1,"4,573",True,b_9781847490599_220005468,1152000,865000,1439000,
m_9781847490599_220005468_tt0040098,Anna Karenina (1948 film),Anna Karenina,tt0040098,True,9781847490599,220005468,Anna Karenina,"['vivien leigh', 'ralph richardson', 'kieron moore', 'hugh dempster']","['jean anouilh', 'guy morgan', 'julien duvivier']","['drama', 'romance']",1948,Approved,27 Sep 1948,139 min,6.7,"2,272",True,b_9781847490599_220005468,,,,
m_9781847490599_220005468_tt0061359,Anna Karenina (1967 film),Anna Karenina,tt0061359,True,9781847490599,220005468,Anna Karenina,"['tatyana samoylova', 'nikolai gritsenko', 'vasiliy lanovoy', 'yuriy yakovlev']","['vasily katanyan', 'leo tolstoy', 'aleksandr zarkhi']","['drama', 'romance']",1967,N/A,06 Nov 1967,145 min,7.1,750,True,b_9781847490599_220005468,,,,
